id,DivID,DivName,RegID,UserID,created_at,updated_at
,1,Alaminos City,1,0,,
,2,Candon City,1,0,,
,3,Dagupan City,1,0,,
,4,Ilocos Norte,1,0,,
,5,Ilocos Sur,1,0,,
,6,La Union,1,0,,
,7,Laoag City,1,0,,
,8,Pangasinan I,1,0,,
,9,"Pangasinan II, Binalonan",1,0,,
,10,San Carlos City,1,0,,
,11,San Fernando City,1,0,,
,12,Urdaneta City,1,0,,
,13,Vigan City,1,0,,
,14,Batanes,2,0,,
,15,Cagayan,2,0,,
,16,Cauayan City,2,0,,
,17,Isabela,2,0,,
,18,Nueva Vizcaya,2,0,,
,19,Quirino,2,0,,
,20,Santiago City,2,0,,
,21,Tuguegarao City,2,0,,
,22,Angeles City,3,0,,
,23,Aurora,3,0,,
,24,Balanga City,3,0,,
,25,Bataan,3,0,,
,26,Bulacan,3,0,,
,27,Cabanatuan City,3,0,,
,28,Gapan City,3,0,,
,29,Malolos City,3,0,,
,30,Munoz Science City,3,0,,
,31,Nueva Ecija,3,0,,
,32,Olongapo City,3,0,,
,33,Pampanga,3,0,,
,34,San Fernando City,3,0,,
,35,San Jose City,3,0,,
,36,San Jose del Monte City,3,0,,
,37,Tarlac,3,0,,
,38,Tarlac City,3,0,,
,39,Zambales,3,0,,
,40,Antipolo City,4,0,,
,41,Batangas Province,4,0,,
,42,Batangas City,4,0,,
,43,Calamba City,4,0,,
,44,Cavite,4,0,,
,45,Cavite City,4,0,,
,46,Dasmarinas City,4,0,,
,47,Laguna,4,0,,
,48,Lipa City,4,0,,
,49,Lucena City,4,0,,
,50,Quezon,4,0,,
,51,Rizal,4,0,,
,52,San Pablo City,4,0,,
,53,Sta. Rosa City,4,0,,
,54,Tanauan City,4,0,,
,55,Calapan City,5,0,,
,56,Marinduque,5,0,,
,57,Occidental Mindoro,5,0,,
,58,Oriental Mindoro,5,0,,
,59,Palawan,5,0,,
,60,Puerto Princesa City,5,0,,
,61,Romblon,5,0,,
,62,Albay,6,0,,
,63,Camarines Norte,6,0,,
,64,Camarines Sur,6,0,,
,65,Catanduanes,6,0,,
,66,Iriga City,6,0,,
,67,Legaspi City,6,0,,
,68,Ligao City,6,0,,
,69,Masbate,6,0,,
,70,Masbate City,6,0,,
,71,Naga City,6,0,,
,72,Sorsogon,6,0,,
,73,Sorsogon City,6,0,,
,74,Tabaco City ,6,0,,
,75,Aklan,7,0,,
,76,Antique,7,0,,
,77,Bacolod City,18,0,,
,78,Bago City,18,0,,
,79,Cadiz City,18,0,,
,80,Capiz,7,0,,
,81,Escalante City,18,0,,
,82,Guimaras,7,0,,
,83,Iloilo,7,0,,
,84,Iloilo City,7,0,,
,85,Kabankalan City,18,0,,
,86,La Carlota City,18,0,,
,87,Negros Occidental,18,0,,
,88,Passi City,7,0,,
,89,Roxas City,7,0,,
,90,Sagay City,18,0,,
,91,San Carlos City,18,0,,
,92,Silay City,18,0,,
,93,Bais City,18,0,,
,94,Bayawan City,18,0,,
,95,Bogo City,8,0,,
,96,Bohol,8,0,,
,97,Carcar City,8,0,,
,98,Cebu City,8,0,,
,99,Cebu Province,8,0,,
,100,"City of Naga, Cebu",8,0,,
,101,Danao City,8,0,,
,102,Dumaguete City,18,0,,
,103,Guihulngan City,18,0,,
,104,Lapu-Lapu City,8,0,,
,105,Mandaue City,8,0,,
,106,Negros Oriental,18,0,,
,107,Siquijor,8,0,,
,108,Tagbilaran City,8,0,,
,109,Talisay City,18,0,,
,110,Tanjay City,18,0,,
,111,Toledo City,8,0,,
,112,Biliran,9,0,,
,113,Calbayog City ,9,0,,
,114,Eastern Samar,9,0,,
,115,Leyte,9,0,,
,116,Maasin City,9,0,,
,117,Northern Samar,9,0,,
,118,Ormoc City,9,0,,
,119,Samar (Western Samar),9,0,,
,120,Southern Leyte,9,0,,
,121,Tacloban City,9,0,,
,122,Dapitan City,10,0,,
,123,Dipolog City,10,0,,
,124,Isabela City,10,0,,
,125,Pagadian City,10,0,,
,126,Zamboanga City,10,0,,
,127,Zamboanga del Norte,10,0,,
,128,Zamboanga del Sur,10,0,,
,129,Zamboanga Sibugay,10,0,,
,130,Bukidnon,11,0,,
,131,Cagayan de Oro City,11,0,,
,132,Camiguin,11,0,,
,133,Gingoog City,11,0,,
,134,Iligan City,11,0,,
,135,Lanao del Norte,11,0,,
,136,Malaybalay City,11,0,,
,137,Misamis Occidental,11,0,,
,138,Misamis Oriental,11,0,,
,139,Oroquieta City,11,0,,
,140,Ozamis City,11,0,,
,141,Tangub City,11,0,,
,142,Valencia City,11,0,,
,143,Compostela Valley,12,0,,
,144,Davao City,12,0,,
,145,Davao del Norte,12,0,,
,146,Davao del Sur,12,0,,
,147,Davao Oriental,12,0,,
,148,Digos City,12,0,,
,149,Island Garden City of Samal,12,0,,
,150,Panabo City,12,0,,
,151,Tagum City,12,0,,
,152,Cotabato City,13,0,,
,153,General Santos City,13,0,,
,154,Kidapawan City ,13,0,,
,155,Koronadal City ,13,0,,
,156,North Cotabato,13,0,,
,157,Sarangani,13,0,,
,158,South Cotabato,13,0,,
,159,Sultan Kudarat,13,0,,
,160,Tacurong City,13,0,,
,161,Agusan del Norte,14,0,,
,162,Agusan del Sur,14,0,,
,163,Bislig City,14,0,,
,164,Butuan City,14,0,,
,165,Dinagat Island,14,0,,
,166,Siargao,14,0,,
,167,Surigao City,14,0,,
,168,Surigao del Norte,14,0,,
,169,Surigao del Sur,14,0,,
,170,Basilan,15,0,,
,171,Lamitan City,15,0,,
,172,Lanao del Sur - IA,15,0,,
,173,Lanao del Sur - IB,15,0,,
,174,Lanao del Sur - IIA,15,0,,
,175,Lanao del Sur - IIB,15,0,,
,176,Maguindanao II,15,0,,
,177,Maguindanao-I,15,0,,
,178,Marawi City,15,0,,
,179,Sulu I,15,0,,
,180,Sulu II,15,0,,
,181,Tawi-Tawi,15,0,,
,182,Abra,16,0,,
,183,Apayao,16,0,,
,184,Baguio City,16,0,,
,185,Benguet,16,0,,
,186,Ifugao,16,0,,
,187,Kalinga,16,0,,
,188,Mt. Province,16,0,,
,189,Caloocan City,17,0,,
,190,City of San Juan,17,0,,
,191,Las Piñas City,17,0,,
,192,Makati City,17,0,,
,193,Malabon,17,0,,
,194,Mandaluyong City,17,0,,
,195,Manila,17,0,,
,196,Marikina City,17,0,,
,197,Muntinlupa City,17,0,,
,198,Navotas,17,0,,
,199,Paranaque City,17,0,,
,200,Pasay City,17,0,,
,201,Pasig City,17,0,,
,202,Quezon City,17,0,,
,203,Taguig & Pateros,17,0,,
,204,Valenzuela City,17,0,,
,205,Mati City,12,0,,
,206,Bayugan City,14,0,,
,207,Imus City,4,0,,
,208,Catbalogan City,9,0,,
,209,RO I,1,0,,
,210,RO II,2,0,,
,211,RO III,3,0,,
,212,RO IV-A,4,0,,
,213,RO IV-B,5,0,,
,214,RO V,6,0,,
,215,RO VI,7,0,,
,216,RO VII,8,0,,
,217,RO VIII,9,0,,
,218,RO IX,10,0,,
,219,RO X,11,0,,
,220,RO XI,12,0,,
,221,RO XII,13,0,,
,222,RO CARAGA,14,0,,
,223,RO ARMM,15,0,,
,224,RO CAR,16,0,,
,225,RO NCR,17,0,,
,226,CDD-BEE,98,0,,
,227,SDD-BEE,98,0,,
,228,SPED-BEE,98,0,,
,229,Admin-BEE,98,0,,
,230,Non-BEE,98,0,,
,231,Mabalacat City,3,0,,
,232,Ilagan City,2,0,,
,233,OD-BEE,98,0,,
,234,Cabadbaran City,14,0,,
,235,Meycauayan City,3,0,,
,236,Borongan City,9,0,,
,237,Biñan City,4,0,,
,238,Bacoor City,4,0,,
,239,Baybay City,9,0,,
,240,TLD-BLD,98,0,,
,241,Sipalay City,18,0,,
,242,Himamaylan City,18,0,,
,243,Bago City,18,0,,
,244,Victorias City,18,0,,
,245,Canlaon City,18,0,,
,246,RO NIR,18,0,,
,301,El Salvador City,11,0,,
,302,Tayabas City,4,0,,
,303,CSDD-BCD,98,0,,
,304,SCPD-BCD,98,0,,
,305,OD-BLD,98,0,,
,306,Batac City,1,0,,
,997,Makati City,97,0,,
,999,[Unspecified],99,0,,
