id,TransactID,PIN,EventID,LAID,LID,PTID,UserID,created_at,updated_at
,1026,881,1,8,,,1,,
,1027,883,1,7,,,1,,
,748,885,5,6,,1,1,,
,1028,885,1,6,,1,1,,
,1520,885,10,25,,1,1,,
,410,886,3,9,,,1,,
,1029,886,1,9,,,1,,
,1177,886,2,9,,,1,,
,2767,886,14,9,,1,1,,
,3221,886,18,9,,7,1,,
,140,888,5,10,,,1,,
,1030,888,1,10,,,1,,
,2798,888,14,10,,1,1,,
,3180,888,18,10,,1,1,,
,69,889,7,9,,,1,,
,411,889,3,9,,,1,,
,852,889,4,9,,,1,,
,1031,889,1,9,,,1,,
,1114,889,2,9,,,1,,
,1374,889,8,10,,9,1,,
,1582,889,10,10,,9,1,,
,1032,890,1,2,,,1,,
,1035,895,1,4,,,1,,
,286,896,4,2,,,1,,
,412,896,3,2,,,1,,
,1036,896,1,2,,,1,,
,1178,896,2,2,,,1,,
,1351,896,8,4,,1,1,,
,1465,896,10,4,,1,1,,
,1683,896,11,0,,20,1,,
,1037,897,1,11,,,1,,
,9603,897,40,7,,1,1,,
,1038,898,1,1,,,1,,
,413,899,3,2,,,1,,
,1039,899,1,2,,,1,,
,1179,899,2,2,,,1,,
,141,900,5,6,,,1,,
,414,900,3,6,,,1,,
,527,900,6,6,,,1,,
,1040,900,1,6,,,1,,
,1180,900,2,6,,,1,,
,1238,900,8,6,,1,1,,
,1433,900,10,6,,1,1,,
,7100,900,32,6,,3,1,,
,7420,900,31,6,,3,1,,
,7424,900,29,6,,3,1,,
,9670,900,44,6,,1,1,,
,14447,900,35,6,,1,1,,
,1041,901,1,9,,,1,,
,1181,901,2,9,,,1,,
,1042,902,1,10,,,1,,
,1043,903,1,9,,,1,,
,1044,904,1,4,,,1,,
,1045,905,1,5,,,1,,
,1182,905,2,5,,,1,,
,1046,906,1,9,,,1,,
,415,907,3,2,,,1,,
,1047,907,1,2,,,1,,
,1183,907,2,2,,,1,,
,416,908,3,2,,,1,,
,1048,908,1,2,,,1,,
,1184,908,2,2,,,1,,
,284,909,4,3,,,1,,
,417,909,3,3,,,1,,
,1049,909,1,3,,,1,,
,1050,910,1,3,,,1,,
,14407,910,29,2,,20,1,,
,418,912,3,4,,,1,,
,1052,912,1,4,,,1,,
,1185,912,2,4,,,1,,
,142,913,5,11,,,1,,
,419,913,3,11,,,1,,
,850,913,4,11,,,1,,
,1053,913,1,11,,,1,,
,1186,913,2,11,,,1,,
,1371,913,8,11,,1,1,,
,2507,913,15,0,,1,1,,
,9602,913,40,0,8,1,1,,
,14499,913,36,3,8,20,1,,
,16001,913,33,3,8,20,1,,
,420,915,3,1,,,1,,
,1055,915,1,1,,,1,,
,1187,915,2,1,,,1,,
,1622,915,11,0,,20,1,,
,1056,916,1,6,,,1,,
,1057,917,1,5,,,1,,
,1058,918,1,3,,,1,,
,1309,918,8,1,,1,1,,
,1564,918,10,1,,1,1,,
,421,919,3,1,,,1,,
,1059,919,1,1,,,1,,
,1232,919,8,1,,1,1,,
,1560,919,10,1,,1,1,,
,1660,919,11,0,,20,1,,
,143,920,5,4,,,1,,
,1060,920,1,4,,,1,,
,1061,921,1,10,,,1,,
,1062,922,1,8,,,1,,
,1269,922,8,8,,1,1,,
,1486,922,10,8,,1,1,,
,2764,922,14,8,,1,1,,
,3133,922,18,8,,1,1,,
,3485,922,37,0,,20,1,,
,9694,922,45,0,,20,1,,
,1063,923,1,,,,1,,
,1064,924,1,8,,,1,,
,1188,924,2,8,,,1,,
,1336,924,8,8,,1,1,,
,1802,924,12,8,,1,1,,
,2763,924,14,8,,1,1,,
,3136,924,18,8,,1,1,,
,10408,924,29,28,,20,1,,
,1065,925,1,1,,,1,,
,1066,926,1,8,,,1,,
,1189,926,2,8,,,1,,
,1270,926,8,8,,1,1,,
,2761,926,14,8,,1,1,,
,3134,926,18,8,,1,1,,
,144,927,5,7,,,1,,
,422,927,3,7,,,1,,
,1067,927,1,7,,,1,,
,1190,927,2,7,,,1,,
,1503,927,10,7,,1,1,,
,2808,927,14,7,,1,1,,
,145,928,5,5,,,1,,
,1068,928,1,5,,,1,,
,1191,928,2,5,,,1,,
,146,929,5,11,,,1,,
,647,929,6,11,,,1,,
,758,929,4,11,,,1,,
,1069,929,1,11,,,1,,
,1291,929,8,11,,1,1,,
,1517,929,10,11,,1,1,,
,3457,929,20,7,9,1,1,,
,147,930,5,8,,,1,,
,1070,930,1,8,,,1,,
,1192,930,2,8,,,1,,
,1321,930,8,8,,1,1,,
,1488,930,10,8,,1,1,,
,1071,931,1,7,,,1,,
,148,932,5,9,,,1,,
,1072,932,1,9,,,1,,
,1193,932,2,9,,,1,,
,1259,932,8,9,,1,1,,
,1550,932,10,9,,1,1,,
,3244,932,18,9,,1,1,,
,1073,933,1,9,,,1,,
,1258,933,8,9,,1,1,,
,1552,933,10,9,,1,1,,
,2769,933,14,9,,1,1,,
,3223,933,18,9,,1,1,,
,1074,934,1,5,,,1,,
,1306,934,8,5,,1,1,,
,1492,934,10,5,,1,1,,
,4500,934,32,5,,4,1,,
,1075,935,1,1,,,1,,
,1077,937,1,11,,,1,,
,1292,937,8,11,,1,1,,
,1403,937,10,11,,1,1,,
,14510,937,39,0,,1,1,,
,1078,938,1,10,,,1,,
,3184,938,18,10,,1,1,,
,111,939,7,8,,,1,,
,848,939,4,8,,,1,,
,1079,939,1,8,,,1,,
,1194,939,2,8,,,1,,
,1343,939,8,8,,1,1,,
,1617,939,11,0,,20,1,,
,9646,939,41,0,,20,1,,
,149,940,5,7,,,1,,
,423,940,3,7,,,1,,
,1080,940,1,7,,,1,,
,1195,940,2,7,,,1,,
,1296,940,8,7,,12,1,,
,1505,940,10,7,,12,1,,
,1612,940,11,0,,20,1,,
,3192,940,18,7,,25,1,,
,9641,940,41,0,,20,1,,
,150,941,5,11,,,1,,
,195,941,6,11,,,1,,
,424,941,3,11,,,1,,
,843,941,4,11,,,1,,
,1081,941,1,11,,,1,,
,1196,941,2,11,,,1,,
,425,942,3,2,,,1,,
,1082,942,1,2,,,1,,
,1197,942,2,2,,,1,,
,426,943,3,6,,,1,,
,1083,943,1,6,,,1,,
,70,944,7,2,,,1,,
,151,944,5,2,,,1,,
,196,944,6,2,,,1,,
,277,944,4,2,,,1,,
,427,944,3,2,,,1,,
,1084,944,1,2,,,1,,
